question,label,cleaned_question,usable,final_question_id
Understanding TFSA questions,factual,What is the full form of TFSA?,True,FQ00001
"CPP Investments earned 3.8% in third quarter, net assets grew to $699.6 billion",factual,What is the net asset value of CPP Investments after the third quarter?,True,FQ00002
What should I know about Can you be both an active and passive investor? before investing?,factual,Can you be both an active and passive investor?,True,FQ00003
How does Investing in an RRSP and TFSA as a business owner affect a retail investor?,factual,"What is the impact of investing in RRSP and TFSA for a retail investor, specifically when the investor is a business owner?",True,FQ00004
retirement plan--extend mortgage amortization to reduce sequence of returns risk--any downsides?,factual,Extend mortgage amortization to reduce sequence of returns risk - any downsides?,True,FQ00005
Retirement Cash Wedge Question: If you are using a 3 year cash wedge does the choice for the remaining part of your portfolio simply come down to risk tolerance?,factual,"Does the choice for the remaining part of a portfolio, when using a 3-year cash wedge, solely depend on risk tolerance?",True,FQ00006
What should I know about How to close a bank account before investing?,factual,Procedure for closing a bank account before investing,True,FQ00007
How does Gaming the system: Are you being influenced when trading online? affect a retail investor?,factual,How does gaming the system influence a retail investor?,True,FQ00008
How does Other costs to consider affect a retail investor?,factual,What are the effects of Other costs to consider on a retail investor?,True,FQ00009
Can an active Canadian stock trader incorporate to get the small businesses deduction?,factual,Can a Canadian stock trader qualify for the small business deduction by incorporating?,True,FQ00010
What should I know about 3. Your bank before investing?,factual,Information needed about the bank before investing,True,FQ00011
How does Four ways to track your expenses affect a retail investor?,factual,What is the impact of four methods for tracking expenses on a retail investor?,True,FQ00012
Margin interest for purchase of non-income stock purchases...,factual,Margin interest rate for non-income producing stock purchases,True,FQ00013
Is it actually possible to collect GIS with 7 figures and a paid off house in retirement? Did I just grossly misunderstand my Financial Planner?,factual,Is it possible to collect GIS (Guaranteed Income Supplement) with 7 figures and a paid-off house in retirement?,True,FQ00014
24 y/o student dilemma: sell stocks or risk card interest?,factual,"Age of the student is 24, and he has a dilemma about whether to sell stocks or face card interest.",True,FQ00015
What should I know about Reducing your estate costs before investing?,factual,Reducing estate costs before investing,True,FQ00016
Government FHSA update: Design of the Tax-Free First Home Savings Account,factual,Update on Government's FHSA: Details about the Design of the Tax-Free First Home Savings Account,True,FQ00017
How does Retirement affect a retail investor?,factual,How does retirement impact a retail investor?,True,FQ00018
XEQT or GIC for fhsa?,factual,XEQT or GIC for FHSA,True,FQ00019
What should I know about Reducing the tax taken from your pay cheque before investing?,factual,How to lower taxes on paycheck for investment purposes?,True,FQ00020
How does Guide to online investment advisers affect a retail investor?,factual,How does a Guide to Online Investment Advisers impact a Retail Investor?,True,FQ00021
What risks should I consider before investing in Horizon Risk?,factual,What are the risks associated with investing in Horizon Risk?,True,FQ00022
How does Where to get information before you invest affect a retail investor?,factual,What is the impact of obtaining investment information on a retail investor?,True,FQ00023
What should I know about Overnight rate before investing?,factual,Overnight rate basics for investment,True,FQ00024
"33 year old - Multiple registered accounts (DCPP, RRSP, DPSP) in multiple financial institutions and funds due to changing employers - BLK LP Index 2050 Fund (0.18% Annualized), BLK LP 2055 Fund (0.465%). Benefits to shifting to XEQT/VGRO ETF? (Additional Info an Questions in Body)",factual,"Comparison between BLK LP Index 2050 Fund, BLK LP 2055 Fund and XEQT/VGRO ETF for a 33-year-old with multiple accounts due to changing employers.",True,FQ00025
TFSA &gt; RRSP for 2025?,factual,Is TFSA more suitable than RRSP for the year 2025?,True,FQ00026
What should I know about Artificial intelligence and investor behaviour before investing?,factual,Investing in AI: What facts about artificial intelligence and investor behavior should I consider?,True,FQ00027
Am I at risk for a defaulted car loan?,factual,Is there a risk of defaulting on a car loan?,True,FQ00028
How does Anchoring effect: How meaningless information can affect your financial decisions affect a retail investor?,factual,How does Anchoring effect a retail investor?,True,FQ00029
How does 2. Adjust your asset allocation affect a retail investor?,factual,How does adjusting asset allocation affect a retail investor?,True,FQ00030
Rule of thumb for retirement: CPP + maxed RRSP = 100% income replacement up to YAMPE at age 65,factual,"What is the rule of thumb for retirement, stating that CPP plus maxed RRSP equals 100% income replacement up to YAMPE at age 65?",True,FQ00031
How does GICs (Guaranteed investment certificates) affect a retail investor?,factual,How does Guaranteed Investment Certificate (GIC) affect a retail investor?,True,FQ00032
How does How to manage a windfall affect a retail investor?,factual,How does managing a windfall impact a retail investor?,True,FQ00033
How does What are the costs associated with LSIFs? affect a retail investor?,factual,What are the costs associated with LSIFs for a retail investor?,True,FQ00034
"If credit card / other loan companies can sue you to pay your debt back - what is the ""risk"" in investing in higher yield loan securities?",factual,What is the risk involved in investing in higher yield loan securities if credit card or other loan companies can sue to recover debt?,True,FQ00035
Just opened a Wealthsimple account. What now?,open_ended,What are the next steps after opening a Wealthsimple account?,True,FQ00036
What should I know about Check your crypto knowledge before investing?,factual,Requirements for checking crypto investment knowledge,True,FQ00037
What should I know about 3. Reinvest interest and dividends before investing?,factual,Reinvesting interest and dividends before investing,True,FQ00038
How does Tracking your investing returns affect a retail investor?,factual,How does tracking investing returns impact a retail investor?,True,FQ00039
How does Human capital affect a retail investor?,factual,How does human capital impact a retail investor?,True,FQ00040
Be careful when googling your TFSA contribution limit,factual,What should one be cautious about when googling TFSA contribution limit?,True,FQ00041
Confusing advice from accountant on Spousal RRSP,factual,Seeking clarification on conflicting advice received from an accountant regarding Spousal RRSP,True,FQ00042
Put downpayment in stock market..do we cut our losses?,factual,"Is it possible to put a downpayment in the stock market and if so, does doing so mean that we are cutting our losses?",True,FQ00043
What should I know about How setting goals can help you save before investing?,factual,How does setting goals help with saving before investing?,True,FQ00044
Selling VFV &amp; Buying VOO,factual,Selling VFV and buying VOO,True,FQ00045
What should I know about What to do if your child receives an inheritance before investing?,factual,What are the steps for a child receiving an inheritance before investing?,True,FQ00046
