final_question_id,question,cleaned_question,usable
FQ00001,It's hard not to feel FOMO on real estate investing in Canada.,Is it difficult not to experience a fear of missing out (FOMO) when considering real estate investment opportunities in Canada?,True
FQ00002,My dad is 55 &amp; doesn't have enough to retire,Is the individual (dad) aged 55 lacking sufficient funds for retirement?,True
FQ00003,Almost 100k Saved- Should I Buy a Condo or Continue Investing?,"Given a savings of approximately CAD 100,000, should the individual opt for purchasing a condo or continue investing?",True
FQ00004,What happens to stocks in a single person's rrsp after death?,What is the fate of individual stocks held within an RRSP upon death?,True
FQ00005,Leveraging WealthSimple right now and have almost all funds in their managed portfolios. I have a High Risk account (Growth Portfolio- 9) and a Medium Risk account (Balanced - 5). Is moving the amount into XEQT (High Risk) and VGRO/XGRO (Balanced Risk) the move to save fees?,"Is moving funds from WealthSimple's managed portfolios (Growth Portfolio-9 for High Risk and Balanced -5 for Medium Risk) into individual ETFs XEQT (High Risk), VGRO, and XGRO (Balanced Risk) a cost-effective decision?",True
FQ00006,What risks should I consider before investing in What are the different types of investing risk??,"What risks should one consider before investing, specifically focusing on the different types of investment risks?",True
FQ00007,What should I know about Get Smarter About Trading before investing?,What information is important to know about Get Smarter About Trading before making an investment?,True
FQ00008,How does An FAQ from OSC in the Community affect a retail investor?,What is the impact of an FAQ (Frequently Asked Questions) from the Ontario Securities Commission's (OSC) Community on a retail investor?,True
FQ00009,What are some good ETF’s that would pair well with VFV?,What are some suitable ETFs that could complement VFV in a portfolio?,True
FQ00010,How does Types of advice you might get affect a retail investor?,How does the type of investment advice influence a retail investor?,True
FQ00011,I think we all need this reminder right now. “What if You Only Invested at Market Peaks?”,What are the consequences of only investing at market peaks?,True
FQ00012,What should I know about Digital tokens: A reality check before investing?,What are important factors to consider before investing in Digital Tokens?,True
FQ00013,Join OMERS vs just buying xeqt with the money,Should I invest in OMERS instead of purchasing XEQT with the same amount of money?,True
FQ00014,What should I know about How a recession can affect investing before investing?,What key points should be considered about the impact of a recession on investments prior to investing?,True
FQ00015,How does When to review your estate plan affect a retail investor?,What impact does reviewing an estate plan have on a retail investor?,True
FQ00016,What does “you’re young you can tolerate more risk” even mean?,"What does the statement 'You're young, you can tolerate more risk' mean in the context of personal finance and investing?",True
FQ00017,Planning on using CASH.TO instead of Wealthsimple Cash for short-term savings,Considering using CASH.TO rather than Wealthsimple Cash for temporary savings,True
FQ00018,"Feel sad buying VFV, why is it still so low?",Why is the investment in VFV (a Canadian all-capitalization ETF) yielding a perceived low return?,True
FQ00019,What should I know about How overconfidence bias may affect your financial decisions before investing?,What is the impact of overconfidence bias on financial decisions prior to investing?,True
