final_question_id,label,cleaned_question,ground_truth,reference_url,reference_text,source_type
FQ00001,factual,What is the full form of TFSA?,"The full form of TFSA is Tax-free Savings Account. This account type is specific to Canada. The total contributions a holder can make to their TFSAs in a calendar year is the sum of all contributions made by the holder at or before that time, excluding certain exceptions, minus the unused contribution room from the preceding year, withdrawals from the precedent year, and the TFSA dollar limit for the current year. For any other case, the total withdrawals made in the calendar year from all of the holder's TFSAs is nil. The rollover period begins when the holder dies and ends at the end of the first calendar year that follows the year of death.",https://www.canada.ca/en/revenue-agency/services/tax/individuals/topics/tax-free-savings-account.html,"Tax-free Savings Account (TFSA) - Canada.ca Tax-free Savings Account (TFSA) Most requested Calculate your contribution room If you over-contribute to a TFSA How withdrawals affect contribution room If you have to pay tax on a TFSA Services and information What is a TFSA What a TFSA is, how it works, and the different types available Opening a TFSA Who can open, how to open, how to close a TFSA Con",CRA
FQ00002,factual,What is the net asset value of CPP Investments after the third quarter?,"As of my last update, I don't have real-time data. However, according to CPP Investments' Q3 2021 report, their net assets were approximately CAD 498.7 billion. Please note that this figure may have changed since then and it's always best to refer to the most recent official reports for accurate information.",ollama-knowledge,,ollama-knowledge
FQ00003,factual,Can you be both an active and passive investor?,"Yes, an individual can be both an active and passive investor. Active investing involves making frequent trades to outperform the market, while passive investing involves buying and holding a diversified portfolio that mirrors a market index.",https://www.getsmarteraboutmoney.ca/learning-path/getting-started/,"Getting started | GetSmarterAboutMoney.ca external-link Skip to content Most Read The stock market brings together people who want to sell investments with those who want to buy them. Learn more about how the stock market works. If you’re ready to start investing, learn these important basics before diving in. DIY investors build and manage their own investment portfolios. If you’re a DIY investor",site-search
FQ00004,factual,"What is the impact of investing in RRSP and TFSA for a retail investor, specifically when the investor is a business owner?","For a retail investor who is a business owner in Canada, investing in both RRSP and TFSA offers tax advantages. The Tax-Free Savings Account (TFSA) allows for tax-free earnings on contributions, with no tax payable on investment income or capital gains within the account. However, there's an annual contribution limit to TFSA, which varies each year. As of 2021, it is $6,000 per year. On the other hand, contributions to a Registered Retirement Savings Plan (RRSP) are tax-deductible, reducing the taxable income for the year the contribution was made. However, withdrawals from RRSP are taxed as ordinary income when withdrawn. The choice between TFSA and RRSP can depend on an individual's current tax bracket and future tax expectations.",https://www.canada.ca/en/revenue-agency/services/tax/individuals/topics/tax-free-savings-account.html,"Tax-free Savings Account (TFSA) - Canada.ca Tax-free Savings Account (TFSA) Most requested Calculate your contribution room If you over-contribute to a TFSA How withdrawals affect contribution room If you have to pay tax on a TFSA Services and information What is a TFSA What a TFSA is, how it works, and the different types available Opening a TFSA Who can open, how to open, how to close a TFSA Con",CRA
FQ00005,factual,Extend mortgage amortization to reduce sequence of returns risk - any downsides?,"Extending mortgage amortization periods can help mitigate sequence-of-returns risk by reducing monthly payments, allowing more funds for investment and potentially smoothing out cash flow. However, it's important to note that a longer amortization period means paying more interest over the life of the loan due to the increased time frame. Additionally, in Canada, the maximum amortization period for high-ratio mortgages (less than 20% down payment) is 25 years, while for conventional mortgages it can go up to 30 years. Extending beyond these limits may require a larger down payment or special arrangements with lenders. Lastly, while this strategy can help manage sequence-of-returns risk, it's crucial to consider the opportunity cost of foregoing potential investment returns and the impact on overall financial planning.",ollama-knowledge,,ollama-knowledge
FQ00006,factual,"Does the choice for the remaining part of a portfolio, when using a 3-year cash wedge, solely depend on risk tolerance?","No, while risk tolerance plays a significant role in determining the asset allocation within a 3-year cash wedge, it does not solely depend on it. Other factors such as investment objectives, time horizon, and current market conditions also influence the choice of investments for the remaining portion of the portfolio. For instance, a conservative investor with a long-term horizon might choose low-risk fixed income instruments like government bonds, while a more aggressive investor may opt for high-yielding short-term corporate bonds or money market funds. It's important to note that Canadian securities regulations require investment products to be suitable for the investor's profile, which includes their risk tolerance, investment horizon, and financial needs.",ollama-knowledge,,ollama-knowledge
FQ00007,factual,Procedure for closing a bank account before investing,"In Canada, the procedure for closing a bank account before investing involves several steps. First, ensure there are no outstanding debts or fees associated with the account. Second, notify your bank of your intention to close the account in writing or through their online platform. Third, withdraw any remaining funds from the account. Fourth, if the bank requires it, you may need to provide identification for security purposes. Lastly, once the account is closed, you can proceed with investing. It's important to note that the specific procedures might vary slightly depending on the bank.",ollama-knowledge,,ollama-knowledge
FQ00008,factual,How does gaming the system influence a retail investor?,"Gaming the system in a retail investment context is not directly mentioned in the provided text. However, the text does imply potential manipulation of stock prices through President Trump's claim about Apple working with Intel on designing and fabricating chips in the U.S., which could influence retail investors if it proves to be true.",https://www.investopedia.com/stock-market-today-dow-jones-s-and-p-500-06182026-12001491,"Stock Market Today: Stocks Rebound From Fed Sell-Off; Intel Rallies With Chip and Memory Stocks; SpaceX Continues Descent ​ Live Coverage from 1 hr 1 min ago Stocks slumped on Wednesday as the odds rose that the Fed will hike rates later this year. Michael Nagle / Bloomberg via Getty Images Close Stocks rose in early trading on Thursday, the final trading day of a holiday-shortened week, recoverin",site-search
FQ00009,factual,What are the effects of Other costs to consider on a retail investor?,"Retail investors in Canada should be aware of several other costs associated with investing, beyond the purchase price of securities. These include trading fees or commissions charged by brokerages for each transaction, which can vary but are typically around $5-$10 per trade. There may also be account maintenance fees if the account balance falls below a certain threshold, usually around $2,500.

In addition, investors might incur costs related to dividend reinvestment plans (DRIPs), mutual funds, and exchange-traded funds (ETFs). DRIPs may have enrollment fees or annual administration charges. Mutual fund management expenses can range from 1% to 3% of the net asset value annually, while ETFs typically have lower expense ratios, usually below 1%.

Lastly, capital gains tax is applicable when an investor sells a security at a profit. The rate depends on the individual's income level and holding period but can range from approximately 15% to 26%, as of 2021. It's essential for retail investors to consider these costs when making investment decisions to ensure they are fully informed about their potential expenses.",ollama-knowledge,,ollama-knowledge
FQ00010,factual,Can a Canadian stock trader qualify for the small business deduction by incorporating?,"Yes, a Canadian stock trader can potentially qualify for the small business deduction (SBD) if they incorporate their trading activities and meet certain criteria set by the Canada Revenue Agency (CRA). To be eligible, the corporation must be a Canadian-controlled private corporation (CCPC), which means that no single shareholder or their affiliates can individually own more than 50% of the voting shares. Additionally, the corporation's annual income should not exceed $500,000 to fully benefit from the SBD, and the income earned from active business activities must be at least 90% of the total income. It is essential to consult a tax professional for specific advice regarding individual circumstances.",ollama-knowledge,,ollama-knowledge
